SERIAL_NUMBER,MODEL_NAME,CARTON_NO,PALLET_NO,VENDOR_SN,ASY_B,HW,FW,DESCRIPTION,SKU,INNER_CARTON_NO,PO_NUMBER,BUNDLE,DN,H_H_PARTNUMBER
BHRC1714LH003585-C,DOORBELL_V3,76006,ASSY0175B037,9884E3BCCF2E,4/11/17 10:10,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110634,100185, ,2170903148,3A014CF00-600-GA01
BHRC1714LH003586-C,DOORBELL_V3,76004,ASSY0175B037,9884E3BCCA74,4/11/17 10:40,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110675,100185, ,2170903148,3A014CF00-600-GA01
BHRC1714LH003587-C,DOORBELL_V3,76007,ASSY0175B037,E8EB110ADB58,4/11/17 10:40,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110695,100185, ,2170903148,3A014CF00-600-GA01
BHRC1714LH003588-C,DOORBELL_V3,76099,ASSY0175B037,9884E3DBE14B,4/11/17 13:35,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110870,100185, ,2170903148,3A014CF00-600-GA01
BHRC1714LH003589-C,DOORBELL_V3,76004,ASSY0175B037,E8EB11096E97,4/11/17 10:08,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110675,100185, ,2170903148,3A014CF00-600-GA01
BHRC1714LH003590-C,DOORBELL_V3,76006,ASSY0175B037,E8EB110B17CA,4/11/17 10:08,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110634,100185, ,2170903148,3A014CF00-600-GA01
BHRC1714LH003591-C,DOORBELL_V3,76004,ASSY0175B037,E8EB1109268B,4/11/17 9:48,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110675,100185, ,2170903148,3A014CF00-600-GA01
BHRC1714LH003592-C,DOORBELL_V3,76004,ASSY0175B037,9884E3470771,4/11/17 9:38,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110675,100185, ,2170903148,3A014CF00-600-GA01
BHRC1714LH003593-C,DOORBELL_V3,76005,ASSY0175B037,E8EB110B0D20,4/11/17 9:34,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110631,100185, ,2170903148,3A014CF00-600-GA01
BHRC1714LH003594-C,DOORBELL_V3,76002,ASSY0175B037,9884E3BCCF12,4/11/17 10:09,36,1.6.297,Satin Nickel - FR,8VR1S5-SFC0,CPTHASSY07201704110629,100185, ,2170903148,3A014CF00-600-GA01
