NetsuiteID,MainLineName,Location,DocumentNum,LineID,Item,Quantity,RingItemGroupRef,RingShipDate
100955,"GOLDTEK TECHNOLOGY CO., Ltd.",Performance Team,IR-100955,1,Package Inventory Items : 88-003-PK-NC-USA,1910,8SS1S6-0EN0,5/11/17
100955,"GOLDTEK TECHNOLOGY CO., Ltd.",Performance Team,IR-100955,3,Package Inventory Items : 88-002-PK-NC-USA,2408,8AC1S5-0EN0,5/11/17
100955,"GOLDTEK TECHNOLOGY CO., Ltd.",Performance Team,IR-100955,5,Package Inventory Items : 88-001-PK-VB-USA,512,8VR1S5-VEN0,5/11/17
100955,"GOLDTEK TECHNOLOGY CO., Ltd.",Performance Team,IR-100955,7,Package Inventory Items : 88-001-PK-SN-USA,6172,8VR2S5-SEN0,5/11/17
100955,"GOLDTEK TECHNOLOGY CO., Ltd.",Performance Team,IR-100955,9,Package Inventory Items : 88-001-PK-VB-USA,3680,8VR2S5-VEN0,5/11/17
