SERIAL_NUMBER,MODEL_NAME,CARTON_NO,PALLET_NO,VENDOR_SN,ASY_B,HW,FW,DESCRIPTION,SKU,INNER_CARTON_NO,PO_NUMBER,BUNDLE,DN,H_H_PARTNUMBER
BHRC1717LH010626-C,DOORBELL_V3,80238,ASSY0175A022,9884E3BC1F78,5/5/17 5:26,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050437,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010627-C,DOORBELL_V3,80236,ASSY0175A022,9884E3BC1BD3,5/5/17 5:25,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050421,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010628-C,DOORBELL_V3,80239,ASSY0175A025,9884E3BC2208,5/5/17 5:24,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050445,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010629-C,DOORBELL_V3,80236,ASSY0175A022,9884E3BC1BAE,5/5/17 5:28,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050421,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010630-C,DOORBELL_V3,80322,ASSY0175A025,9884E3CDF7BB,5/5/17 6:09,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050525,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010631-C,DOORBELL_V3,80239,ASSY0175A025,E8EB1109DC18,5/5/17 5:40,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050445,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010632-C,DOORBELL_V3,80239,ASSY0175A025,9884E3CDF92B,5/5/17 5:25,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050445,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010633-C,DOORBELL_V3,80238,ASSY0175A022,9884E32FAAB5,5/5/17 5:35,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050437,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010634-C,DOORBELL_V3,80237,ASSY0175A022,9884E3BC200C,5/5/17 5:25,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050429,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010635-C,DOORBELL_V3,80237,ASSY0175A022,9884E3BC207C,5/5/17 5:25,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050429,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010636-C,DOORBELL_V3,80239,ASSY0175A025,9884E3BC1D1C,5/5/17 5:27,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050445,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010637-C,DOORBELL_V3,80238,ASSY0175A022,9884E3BC1BCE,5/5/17 5:28,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050437,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010639-C,DOORBELL_V3,80244,ASSY0175A025,9884E3D17735,5/5/17 5:40,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050461,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010640-C,DOORBELL_V3,80257,ASSY0175A025,9884E3BC2044,5/5/17 6:11,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050501,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010641-C,DOORBELL_V3,80379,ASSY0175A025,9884E3BC255E,5/5/17 5:28,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050520,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010642-C,DOORBELL_V3,80244,ASSY0175A025,9884E3BC1F01,5/5/17 5:33,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050461,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010643-C,DOORBELL_V3,80251,ASSY0175A025,9884E3BC23C4,5/5/17 5:27,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050476,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010644-C,DOORBELL_V3,80255,ASSY0175A025,E8EB1109D363,5/5/17 5:27,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050484,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010645-C,DOORBELL_V3,80379,ASSY0175A025,38D269D7389E,5/5/17 5:28,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050520,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010646-C,DOORBELL_V3,80238,ASSY0175A022,9884E3BC2062,5/5/17 5:26,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050437,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010647-C,DOORBELL_V3,80324,ASSY0175A025,9884E3D17707,5/5/17 5:31,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050707,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010648-C,DOORBELL_V3,80255,ASSY0175A025,9884E3CE0EC0,5/5/17 5:28,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050484,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010649-C,DOORBELL_V3,80257,ASSY0175A025,9884E3266A24,5/5/17 5:49,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050501,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010650-C,DOORBELL_V3,80242,ASSY0175A025,9884E348250A,5/5/17 5:34,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050453,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010651-C,DOORBELL_V3,80258,ASSY0175A025,9884E3BC1D55,5/5/17 6:14,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050511,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010652-C,DOORBELL_V3,80322,ASSY0175A025,9884E3BC1F36,5/5/17 5:29,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050525,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010653-C,DOORBELL_V3,80379,ASSY0175A025,9884E3BC1F16,5/5/17 6:11,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050520,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010654-C,DOORBELL_V3,80247,ASSY0175A025,9884E3BC1D5B,5/5/17 5:28,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050469,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010655-C,DOORBELL_V3,80379,ASSY0175A025,9884E3BC1D17,5/5/17 5:28,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050520,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010656-C,DOORBELL_V3,80258,ASSY0175A025,9884E329444E,5/5/17 5:43,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050511,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010657-C,DOORBELL_V3,80255,ASSY0175A025,9884E3D16F05,5/5/17 5:31,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050484,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010658-C,DOORBELL_V3,80239,ASSY0175A025,606405CC60B3,5/5/17 5:31,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050445,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010659-C,DOORBELL_V3,80258,ASSY0175A025,9884E3BC1AE7,5/5/17 6:14,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050511,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010660-C,DOORBELL_V3,80239,ASSY0175A025,E8EB1109CF60,5/5/17 5:30,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050445,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010661-C,DOORBELL_V3,80238,ASSY0175A022,9884E348293B,5/5/17 5:30,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050437,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010662-C,DOORBELL_V3,80258,ASSY0175A025,9884E34834A2,5/5/17 6:11,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050511,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010663-C,DOORBELL_V3,80239,ASSY0175A025,9884E3482539,5/5/17 5:31,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050445,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010664-C,DOORBELL_V3,80244,ASSY0175A025,9884E3D17450,5/5/17 6:10,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050461,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010665-C,DOORBELL_V3,80379,ASSY0175A025,9884E3281E75,5/5/17 5:44,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050520,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010666-C,DOORBELL_V3,80257,ASSY0175A025,9884E3BC1AD6,5/5/17 6:13,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050501,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010667-C,DOORBELL_V3,80247,ASSY0175A025,9884E3D1747D,5/5/17 6:11,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050469,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010668-C,DOORBELL_V3,80247,ASSY0175A025,9884E34834B5,5/5/17 6:11,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050469,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010669-C,DOORBELL_V3,80251,ASSY0175A025,9884E3482F6E,5/5/17 5:34,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050476,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010670-C,DOORBELL_V3,80255,ASSY0175A025,9884E34820BE,5/5/17 6:11,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050484,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010671-C,DOORBELL_V3,80251,ASSY0175A025,9884E3D1751E,5/5/17 5:38,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050476,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010672-C,DOORBELL_V3,80258,ASSY0175A025,9884E34831F8,5/5/17 5:32,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050511,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010673-C,DOORBELL_V3,80322,ASSY0175A025,9884E3D1771A,5/5/17 5:34,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050525,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010674-C,DOORBELL_V3,80244,ASSY0175A025,9884E3CDF4E3,5/5/17 5:53,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050461,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010675-C,DOORBELL_V3,80255,ASSY0175A025,9884E3482904,5/5/17 6:11,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050484,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010676-C,DOORBELL_V3,80239,ASSY0175A025,9884E3483185,5/5/17 5:35,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050445,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010677-C,DOORBELL_V3,80324,ASSY0175A025,9884E3D17426,5/5/17 5:35,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050707,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010678-C,DOORBELL_V3,80258,ASSY0175A025,E8EB1109D8E2,5/5/17 5:21,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050511,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010679-C,DOORBELL_V3,80255,ASSY0175A025,9884E3482138,5/5/17 5:31,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050484,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010680-C,DOORBELL_V3,80255,ASSY0175A025,9884E3D17760,5/5/17 5:22,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050484,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010681-C,DOORBELL_V3,80255,ASSY0175A025,9884E3CDF878,5/5/17 5:30,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050484,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010682-C,DOORBELL_V3,80256,ASSY0175A025,9884E3D17929,5/5/17 5:22,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050494,100255, ,2170903144,3A014PF00-600-GA01
BHRC1717LH010683-C,DOORBELL_V3,80238,ASSY0175A022,9884E3CDF4DC,5/5/17 5:22,36,1.6.297,Satin Nickel - Installer,8VR2S5-SEN0,CPTHASSY07201705050437,100255, ,2170903144,3A014PF00-600-GA01
