SERIAL_NUMBER,MODEL_NAME,CARTON_NO,PALLET_NO,VENDOR_SN,ASY_B,HW,FW,DESCRIPTION,SKU,INNER_CARTON_NO,PO_NUMBER,BUNDLE,DN,H_H_PARTNUMBER
BHRC1717LH008444-C,DOORBELL_V3,79470,ASSY0175B016,9884E3286DB7,4/29/17 2:57,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020052,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008445-C,DOORBELL_V3,79456,ASSY0175B016,9884E327C01D,4/29/17 2:59,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290460,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008447-C,DOORBELL_V3,79465,ASSY0175B016,9884E32941B1,4/29/17 3:00,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020036,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008450-C,DOORBELL_V3,79469,ASSY0175B016,9884E3E5B633,4/29/17 3:01,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020044,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008452-C,DOORBELL_V3,79465,ASSY0175B016,9884E3E5BAF0,4/29/17 3:00,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020036,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008453-C,DOORBELL_V3,79447,ASSY0175B018,9884E329490E,4/29/17 3:03,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290412,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008454-C,DOORBELL_V3,79596,ASSY0175B017,9884E3CE0DE1,4/29/17 3:02,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020447,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008456-C,DOORBELL_V3,79457,ASSY0175B016,9884E329490D,4/29/17 3:03,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008459-C,DOORBELL_V3,79471,ASSY0175B016,9884E3E5BC31,4/29/17 3:00,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020060,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008461-C,DOORBELL_V3,79458,ASSY0175B016,9884E3286DF0,4/29/17 3:02,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008463-C,DOORBELL_V3,79469,ASSY0175B016,9884E32E7062,4/29/17 3:02,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020044,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008466-C,DOORBELL_V3,79478,ASSY0175B016,9884E3286F65,4/29/17 3:02,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020085,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008467-C,DOORBELL_V3,79464,ASSY0175B016,9884E3CFAFFC,4/29/17 3:02,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020028,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008468-C,DOORBELL_V3,79458,ASSY0175B016,9884E3CFAFD5,4/29/17 3:04,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH008471-C,DOORBELL_V3,79479,ASSY0175B016,9884E32E3514,4/29/17 3:08,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020093,100255, ,2170903146,3A0149100-600-GA01
